id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
6138,negative,critical,no,"contrast, statistics, appeal to authority","fear-mongering, ad hominem",hasty generalization
6139,negative,alarmist,no,"causal relationship, appeal to evidence","scare tactics, demonization",hasty generalization
6140,neutral,informative,no,"evidence, appeal to authority, anecdotal","bandwagon, card stacking",hasty generalization
6141,neutral,informative,no,"reference to authority, appeal to logic, contrast","card stacking, cherry-picking",none
6142,negative,critical,yes,"assertion, anecdotal evidence, contradiction","scapegoating, ad hominem, appeal to authority","['hasty generalization', 'straw man']"
6143,positive,optimistic,no,"anaphora, concrete language, contrast","fear appeal, bandwagon, testimonials",hasty generalization
6144,negative,serious,yes,"appeal to authority, hyperbole","scare tactics, selective evidence",oversimplification
6145,negative,cautionary,no,"hyperbole, appeal to authority, anaphora","scare tactics, selective omission","['post hoc ergo propter hoc', 'hasty generalization']"
6146,neutral,analytical,yes,"ellipsis, hyperbole, alliteration","appeal to emotion, authority appeal, fear-mongering",conflation
6147,negative,critical,yes,"appeal to authority, hyperbole","scare tactics, cherry-picking",false cause
6148,negative,critical,no,"statistical evidence, anecdotal evidence, appeal to authority","fearmongering, cherry-picking, emotional appeal","['post hoc', 'hasty generalization']"
6149,negative,cynical,yes,"understatement, antithesis, appeal to authority","selective omission, emotional appeal, ad hominem","['false cause', 'hasty generalization']"
6150,neutral,objective,no,"assertion, euphemism","appeal to authority, rationalization",none
6151,negative,concerned,yes,"analogy, hyperbole","scapegoating, appeal to emotion","false analogy, hasty generalization"
6152,positive,optimistic,no,"metaphor, euphemism","glittering generalities, spin",none
6153,negative,critique,no,"anaphora, allusion, contrast","scare tactics, appeal to emotion, demonization",hasty generalization
6154,negative,alarmist,no,"metaphor, dramatic language, appeal to fear","demonization, selective reporting, emotional appeal",hasty generalization
6155,positive,optimistic,no,"quoting, appeal to authority, definition","euphemisms, bandwagon, positive framing",post hoc fallacy
6156,negative,critical,no,"anecdote, hyperbole","scapegoating, appeal to emotion",hasty generalization
6157,negative,accusatory,no,"statistical evidence, appeal to fear, anecdotal evidence","stereotyping, scapegoating, quoting authority",hasty generalization
6158,negative,serious,yes,"appeal to emotion, contrast, specificity","fear-mongering, selective omission",hasty generalization
6159,negative,concerned,no,"euphemism, emphasis","appeal to emotion, selective reporting",hasty generalization
6160,negative,critical,no,"ad hominem, hyperbole","fear-mongering, cherry-picking",hasty generalization
6161,negative,accusatory,no,"assertion, anaphora","appeal to fear, demonization",false cause
6162,negative,serious,yes,"statistics, hyperbole, contrast","fear-mongering, appeal to authority, misleading statistics","['appeals to emotion', 'fallacy of composition']"
6163,negative,adversarial,yes,"loaded language, appeal to emotion","demonization, fearmongering",straw man fallacy
6164,negative,critical,no,"ethos, pathos, diction","scare tactics, appeal to emotion",hasty generalization
6165,neutral,informative,no,"anecdote, juxtaposition","fearmongering, scapegoating",post hoc ergo propter hoc
6166,negative,accusatory,no,"appeal to authority, anecdotal evidence, contrast","demonization, fear mongering, selective omission","['hasty generalization', 'red herring']"
6167,negative,critical,yes,"allusion, appeal to authority","fear mongering, selective quoting",straw man
6168,negative,cynical,no,"hyperbole, contrast","appeal to fear, anecdotal evidence",hasty generalization
6169,negative,serious,no,"ambiguity, appeal to emotion","fearmongering, appeal to authority",straw man
6170,negative,urgent,yes,"hyperbole, appeal to emotion","fearmongering, false context",hasty generalization
6171,negative,comparative,no,"contrast, antithesis","appeal to authority, discrediting",hasty generalization
6172,positive,optimistic,no,"data presentation, enumeratio, appeal to authority","cherry picking, testimonial, bandwagon",post hoc ergo propter hoc
6173,negative,critical,no,"contrast, accusation, appeal to emotion","dichotomy, selective omission, ad hominem",hasty generalization
6174,negative,alarmist,no,"hyperbole, appeal to fear, loaded language","fearmongering, cherry picking, demonization",post hoc
6175,negative,critical,no,"contrast, hyperbole, imagery","demonization, repetition, appeal to fear","hasty generalization, false dichotomy"
6176,negative,accusatory,yes,"appeal to authority, cherry-picking, hyperbole","fear-mongering, scapegoating, disinformation",hasty generalization
6177,negative,hostile,yes,"exaggeration, appeal to fear, generalization","misleading statistics, stereotyping, scapegoating","['hasty generalization', 'false attribution']"
6178,negative,critical,no,"historical reference, causal relationship","fear appeal, cherry-picking data",none
6179,negative,confrontational,yes,"hyperbole, appeal to ignorance, pathos","bandwagon, scapegoating, selective truth",hasty generalization
6180,positive,optimistic,no,"appeal to authority, specificity, historical referencing","bandwagon, card-stacking, transfer",none
6181,negative,accusatory,yes,"hyperbole, colloquial language, rhetorical question","scapegoating, appeal to emotion, fearmongering","['ad hominem', 'hasty generalization']"
6182,negative,alarmist,no,"appeal to fear, innuendo","demonization, selective reporting",hasty generalization
6183,negative,critical,yes,"ethos, pathos, dichotomy","fear-mongering, cherry-picking, bandwagon",hasty generalization
6184,negative,concerned,no,"statistics, anecdotal evidence, contrast","fearmongering, appeal to authority, demonization",false dichotomy
6185,negative,cautionary,yes,"repetition, anecdote, appeal to authority","fear-mongering, card-stacking, transfer","['hasty generalization', 'post hoc ergo propter hoc']"
6186,negative,accusatory,no,"anecdotal evidence, demonization, appeal to fear","scapegoating, guilt by association, loaded language",hasty generalization
6187,neutral,informative,no,"appeal to authority, emphasis","card stacking, glittering generalities",none
6188,negative,cautionary,yes,"hypothetical scenario, appeal to fear","cherry picking, false dilemma",hasty generalization
6189,negative,alarmist,no,"metaphor, hyperbole","appeal to fear, bandwagon","['hasty generalization', 'slippery slope']"
6190,negative,alarmist,no,"fear appeals, anecdotal evidence, loaded language","scare tactics, bandwagon appeal","['overgeneralization', 'false cause']"
6191,neutral,informative,no,"comparison, hyperbole","appeal to authority, demonization",none
6192,negative,controversial,yes,"appeal to authority, denial","cherry-picking statistics, emotional appeal",hasty generalization
6193,positive,alarmist,yes,"exaggeration, statistics, implied causation","fear-mongering, selective use of data, appeal to emotion",hasty generalization
6194,negative,critical,no,"exaggeration, comparative rhetoric, qualified assertion","fear-mongering, misleading statistics, appeal to emotion",post hoc ergo propter hoc
6195,negative,accusatory,yes,"historical reference,  appeal to emotion","fear mongering,  misleading statistics",hasty generalization
6196,negative,critical,no,"contrast, anecdote","cherry-picking, fear appeal",non sequitur
6197,neutral,analytical,no,"anecdote, contrast","appeal to authority, fear appeal",none
6198,neutral,informative,no,"appeal to authority, repetition, imagery","emotional appeal, card stacking, misleading statistics","['red herring', 'non-sequitur']"
6199,negative,indicting,no,"hyperbole, anecdote","appeal to fear, ad hominem",hasty generalization
6200,negative,critical,yes,"metaphor, hyperbole, allusion","demonization, bandwagon, misleading statistics","['false dichotomy', 'hasty generalization']"
6201,positive,optimistic,no,"inclusivity, appeal to authority, appeal to emotion","bandwagon, testimonial, transfer",none identified
6202,negative,critical,no,"hyperbole, conditional statement, loaded language","straw man, appeal to emotion",false dilemma
6203,negative,critical,yes,"appeal to emotion, slippery slope","demonization, fear-mongering","['straw man', 'red herring']"
6204,negative,confrontational,yes,"rhetorical question, anaphora, assertion","appeal to authority, framing",hasty generalization
6205,negative,critical,yes,"statistics, extrapolation, recapitulation","appeal to fear, misleading statistics, emotional language","['hasty generalization', 'false dichotomy']"
6206,negative,cautious,yes,"statistics, appeal to emotion, contrast","loaded language, fear-mongering, scapegoating","['false dilemma', 'post hoc']"
6207,negative,alarming,yes,"euphemism, authority appeal, anaphora, pathos","fear-mongering, bandwagon, demonization",hasty generalization
6208,negative,confrontational,yes,"repetition, anecdote, appeal to emotion","scare tactics, assertion, bandwagon","['hasty generalization', 'false dilemma']"
6209,negative,alarmist,no,"implication, hyperbole","fear-mongering, misleading information",fallacy of composition
6210,neutral,objective,yes,"appeal to authority, inclusive language, ambiguity, hyperbole, vague language","bandwagon, emotional appeal, cherry-picking",fallacy of hasty generalization
6211,negative,critical,no,"statistical evidence, appeal to emotion","fearmongering, us vs. them",hasty generalization
6212,negative,critical,yes,"contradiction, repetition","fearmongering, selective omission",non sequitur
6213,positive,optimistic,yes,"assertion, contrast","bandwagon, demonization",false dilemma
